pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numcases_total,numcases_weekly,ratecases_total,numdeaths_total,numdeaths_weekly,ratedeaths_total,ratecases_last7,ratedeaths_last7,numcases_last14,numdeaths_last14,ratecases_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
59,British Columbia,Colombie-Britannique,2020-04-18,16,2020,0,1617,173,31.01,78,20,1.5,3.32,0.38,415,40,7.96,0.77,24.71,0.47,2.86,0.05
1,Canada,Canada,2020-04-18,16,2020,0,27553,8592,117.15,1316,775,5.6,36.53,3.30,16908,1147,71.89,4.88,1227.43,5.22,110.71,0.47
46,Manitoba,Manitoba,2020-04-18,16,2020,0,253,11,18.28,5,1,0.36,0.79,0.07,59,3,4.26,0.22,1.57,0.11,0.14,0.01
13,New Brunswick,Nouveau-Brunswick,2020-04-18,16,2020,0,118,6,14.95,0,0,0,0.76,0.00,20,0,2.53,0,0.86,0.11,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-18,16,2020,0,256,15,49.18,3,0,0.58,2.88,0.00,61,2,11.72,0.38,2.14,0.41,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-18,16,2020,0,5,0,10.99,0,0,0,0.00,0.00,1,0,2.2,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-04-18,16,2020,0,649,221,65.42,7,5,0.71,22.28,0.50,413,7,41.63,0.71,31.57,3.18,0.71,0.07
62,Nunavut,Nunavut,2020-04-18,16,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-04-18,16,2020,0,10007,3362,67.50,511,259,3.45,22.68,1.75,6380,417,43.03,2.81,480.29,3.24,37.00,0.25
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-18,16,2020,0,26,1,15.82,0,0,0,0.61,0.00,4,0,2.43,0,0.14,0.09,0.00,0.00
24,Quebec,Québec,2020-04-18,16,2020,0,17520,5229,203.61,805,516,9.36,60.77,6.00,10524,730,122.31,8.48,747.00,8.68,73.71,0.86
47,Saskatchewan,Saskatchewan,2020-04-18,16,2020,0,313,24,26.53,4,0,0.34,2.03,0.00,82,1,6.95,0.08,3.43,0.29,0.00,0.00
60,Yukon,Yukon,2020-04-18,16,2020,0,9,1,20.94,0,0,0,2.33,0.00,3,0,6.98,0,0.14,0.33,0.00,0.00
48,Alberta,Alberta,2020-04-25,17,2020,0,4232,1671,95.25,73,22,1.64,37.61,0.50,2664,33,59.96,0.74,238.71,5.37,3.14,0.07
59,British Columbia,Colombie-Britannique,2020-04-25,17,2020,0,1947,330,37.34,100,22,1.92,6.33,0.42,503,42,9.65,0.81,47.14,0.90,3.14,0.06
1,Canada,Canada,2020-04-25,17,2020,0,37286,9733,158.53,2253,937,9.58,41.38,3.98,18325,1712,77.91,7.28,1390.43,5.91,133.86,0.57
46,Manitoba,Manitoba,2020-04-25,17,2020,0,267,14,19.30,6,1,0.43,1.01,0.07,25,2,1.81,0.14,2.00,0.14,0.14,0.01
13,New Brunswick,Nouveau-Brunswick,2020-04-25,17,2020,0,118,0,14.95,0,0,0,0.00,0.00,6,0,0.76,0,0.00,0.00,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-25,17,2020,0,257,1,49.37,3,0,0.58,0.19,0.00,16,0,3.07,0,0.14,0.03,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-25,17,2020,0,5,0,10.99,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
